JobDate,Employer,SOC,MinHrlySalary,Exp,Edu,NAICS3,SK
2022-06-21,La-Z-Boy,11-2022,24.04,5.0,12.0,337.0,"communication skills,time management,selling techniques,residential design,sales,sales goals,sales management,supervisory skills,microsoft word,deposit collection,performance analysis,negotiation skills,creative problem solving,product sales,microsoft excel,succession planning,detail-oriented,organizational skills,creativity,research,conflict management,microsoft office,persuasion,customer service,performance appraisals,product knowledge,description and demonstration of products,people development,customer contact"
2022-07-02,Northrop Grumman,11-3051,59.95,7.0,12.0,336.0,"business process,automotive industry knowledge,mentoring,customer service,stealth / low observable technology,microsoft office,aerospace industry knowledge"
2022-02-09,Smith & Nephew,11-2022,39.42,5.0,16.0,339.0,"surgery,business planning,sales planning,budgeting,product sales,sales management,educational programs,sales,communication skills,physical abilities,performance management"
2022-02-16,Benchmark Electronics,11-3051,29.81,8.0,16.0,334.0,"writing,reengineering,risk and mitigation analysis,description and demonstration of products,creativity,microsoft office,project management,capital planning,building effective relationships,six sigma green belt,six sigma black belt,process engineering,six sigma,people management,detail-oriented,manufacturing processes,multi-tasking,organizational skills,teamwork / collaboration,succession planning,microelectronics,client base retention,verbal / oral communication,communication skills,problem solving,lean six sigma,planning,international traffic in arms regulations (itar)"
2022-03-29,Broadcom,11-9199,54.81,8.0,16.0,334.0,"planning,symantec packages,atlassian jira,agile coaching,critical thinking,scrum,leadership,key performance indicators (kpis),quality assurance and control,detail-oriented,product management,presentation skills,initiative,confluence,creativity,program management,project management,microsoft office,root cause analysis"
2022-03-31,Susiecakes,11-1021,24.04,3.0,16.0,311.0,"physical abilities,product sales,budgeting,retail industry knowledge,food service industry knowledge,quality management"
2022-08-03,Northrop Grumman,11-1021,65.87,9.0,16.0,336.0,"performance analysis,business development,engineering projects,microsoft word,multi-tasking,microsoft excel,software development,system operation,microsoft powerpoint,communication skills,problem identification,microsoft office,project management,configuration management,systems integration,repair,hardware and software configuration,systems engineering"
2022-09-22,General Dynamics,11-1021,27.4,10.0,16.0,336.0,"budgeting,service level agreement,ansible,customer acquisition,javascript,object-oriented analysis and design (ooad),contract review,product sales,node.js,amazon web services (aws),amazon web services (aws),software systems,business development,systems analysis,leadership,devops,scheduling,vaccination,financial management,network hardware/software maintenance,staff management,operations management,system architecture,problem solving,integrated master schedule,self-motivation,financial analysis,software development,system design,linux,stakeholder management,communication skills,bash,dodaf,performance appraisals,project planning and development skills,event planning,configuration management,strategic development,business operations,python,project management,written communication,cost control,presenting solutions,research,design software,it management,systems engineering,troubleshooting,kubernetes,unix,agile development,writing,systems development life cycle (sdlc),hardware and software configuration"
2022-08-30,Lockheed Martin Corporation,11-9199,34.66,5.0,0.0,336.0,"rapid prototyping,prototyping,scheduling,derivatives,planning,systems integration,lean manufacturing,systems development"
2022-05-24,The Boeing Company,11-9161,72.12,14.0,16.0,336.0,"global marketing,marketing communications,planning,brand marketing,teamwork / collaboration,branding strategy,brand management,brand experience,aerospace industry knowledge,creativity,research"
2022-11-26,"Anheuser-Busch Companies, Inc.",11-3121,44.23,5.0,16.0,312.0,"human resource management industry knowledge,disciplinary procedures,americans with disabilities act (ada),family medical leave act (fmla),workforce planning,employee relations,payroll processing,people management,manufacturing industry knowledge,talent management,basecamp,budgeting"
2022-08-18,Northrop Grumman,11-2022,62.5,10.0,16.0,336.0,"planning,operations management,business development,technical writing / editing,customer acquisition,description and demonstration of products,writing,procurement"
2022-11-08,Eaton,11-2022,45.67,7.0,16.0,335.0,"scheduling,organizational skills,salesforce,team management,budgeting,financial compliance,investment strategy,critical thinking,negotiation skills,customer billing,business development,leadership,marketing development,team building,business strategy,industrial engineering industry expertise,client base retention,investment recommendations,market analysis,problem solving,financial analysis,international traffic in arms regulations (itar),planning,revenue projections,building effective relationships,customer service,presentation skills,research,new product development,project management,proposal writing,strategic planning,written communication,international business,product design,aerospace industry knowledge,market pricing,customer contact"
2022-11-16,Caterpillar Incorporated,11-1021,13.0,5.0,16.0,333.0,"operations management,scheduling,six sigma,supervisory skills,lean six sigma,production management,lean manufacturing,microsoft office,strategic planning,process improvement,six sigma green belt,5s methodology,estimating"
2022-01-30,Hitachi America,11-2021,47.12,5.0,16.0,334.0,"research,negotiation skills,budgeting,sales,communication skills,english,project management,sales channels,market planning,transformers,product management,business development,product knowledge,teamwork / collaboration,salesforce,product marketing,consumer research,go-to-market strategy,business planning"
2022-07-03,Rogers Corporation,11-9051,34.0,1.0,0.0,326.0,"restaurant industry knowledge,positive disposition,problem solving,restaurant management,computer literacy,guest services,communication skills,retail management,multi-tasking,retail industry knowledge,retail operations,prioritizing tasks,basic mathematics"
2022-07-06,Pryes Brewing Company,11-3051,21.63,1.0,0.0,312.0,"onboarding,packaging,writing,repair,record keeping,production management,machinery,staff management,vaccination,scheduling,key performance indicators (kpis),communication skills,cleaning"
2022-11-10,Applied Materials,11-1021,48.56,4.0,16.0,334.0,"business management,customer service,communication skills,problem solving"
2022-01-15,Thermo Fisher Scientific Inc,11-9121,48.08,10.0,16.0,334.0,"presentation skills,energetic,organizational skills,teamwork / collaboration,product management,thought leadership,customer service,detail-oriented,quality management,meeting deadlines,technical support,biology,fluorescence,product development,proteins,product sales,troubleshooting,communication skills,immunology,research,scheduling,flow cytometry"
2022-08-17,Mitsubishi,11-1021,52.88,6.0,16.0,336.0,"openpages,communication skills,stakeholder management,planning,information systems,problem solving,metrics definition,commercial lending,ffiec,tableau,ibm openpages,quality assurance and control,sql,basel,nist cybersecurity framework,gdpr assessment strategy & remediation,microsoft excel,organizational skills,teamwork / collaboration,multi-tasking,unit risk,basic international banking knowledge,meeting deadlines,internal auditing,cobit,risk assessment,basel ii,management reporting,risk management,information security,capital markets,nist security standards,itil,project management"
2022-12-19,Smith & Nephew,11-2022,32.69,5.0,16.0,339.0,"planning,s-plus,e-sourcing,calibration,cost estimation,sap,communication skills,time management,client base retention,sales opportunities,complex sales,sales,sales goals,medical sales,territory management,business planning,product development,purchasing,supplier review,thought leadership,organizational skills,acute care,biologics,lifecycle management,sap ariba,leadership,sales management,anatomy,customer acquisition,prospective clients,vaccines,budgeting,product sales,intellectual property,inspection records,global procurement,supplier identification,procurement,analytical skills,sap sourcing,selling style,risk assessment,risk management,business acumen,medical equipment industry knowledge,persuasion,customer service,building effective relationships,research,presenting solutions"
2022-02-23,The Boeing Company,11-9199,62.5,15.0,16.0,336.0,"vertical integration,team management,change management,enterprise software,communication skills,collective bargaining,program management,customer contact,knowledge management,onboarding,software engineering"
2022-03-26,Fortress Building Products,11-2022,11.15,3.0,16.0,321.0,"planning,problem solving,time management,communication skills,physical abilities,english,microsoft powerpoint,property management,sales goals,sales,rehabilitation,sales strategy,inside sales,business development,spanish,microsoft word,budgeting,prospective clients,building materials industry knowledge,framing,salesforce,social media,energetic,teamwork / collaboration,sales calls,sales planning,microsoft excel,estimating,bilingual,crm software,building effective relationships,direct sales,persuasion,business acumen,listening"
2022-05-20,The Boeing Company,11-9199,55.13,5.0,16.0,336.0,"customer contact,presentation skills,building effective relationships,risk management,collective bargaining,product development,scheduling,embedded software,product sales"
2022-04-27,The Boeing Company,11-9111,43.01,13.0,16.0,336.0,"communication skills,c++,docker software,system design,collective bargaining,software development,physics,planning,lightweight directory access protocol (ldap),problem solving,devops,bigquery,pipeline (computing),nosql,continuous deployment,java,continuous integration (ci),kubernetes,mysql,troubleshooting,creativity,atlassian bamboo,single sign on (sso),python"
2022-11-10,Catalent Pharma Solutions,11-9041,120.19,8.0,16.0,325.0,"troubleshooting,social media,total productive maintenance,manufacturing processes,manufacturing industry knowledge,technical support,legal compliance,current good manufacturing practices (cgmp),physics"
2022-05-03,Patrice Associates Incorporated,11-9051,26.44,3.0,16.0,311.0,"people development,writing,restaurant industry knowledge,financial acumen,energetic,organizational skills,supervisory skills,leadership"
2022-09-08,Dell,11-2021,25.48,3.0,16.0,334.0,"problem solving,marketing,communication skills,energetic,organizational skills,teamwork / collaboration,detail-oriented,retail industry knowledge,market strategy,scheduling,microsoft excel,leadership,budgeting,consumer segmentation,microsoft office,account management,creativity,merchandising"
2022-03-25,Pioneer Data Systems Incorporated,11-3011,27.0,4.0,12.0,325.0,"repair,snow removal,facility maintenance,computer literacy,computerized maintenance management system (cmms),lawn care,microsoft windows,renovation"
2022-07-22,GAF Materials Corporation,11-9041,6.25,10.0,16.0,324.0,"autocad,budgeting,capital expenditures,machinery,hazard analysis,lifting ability,staff management,communication skills,vendor relations,network troubleshooting,planning,simulation,positive disposition,problem solving,computer aided drafting/design (cad),process safety,proofreading,project planning and development skills,typing,research,process improvement,microsoft office,project management,root cause analysis,structured methods,troubleshooting,data entry"
2022-04-28,Northrop Grumman,11-9041,90.53,15.0,16.0,336.0,"research,software architecture,procurement,customer contact,vaccines,remote sensing,troubleshooting technical issues,overhead persistent infrared"
2022-11-24,Northrop Grumman,11-9199,66.83,10.0,16.0,336.0,"internal auditing,accounting systems,writing,federal acquisition regulation,defense federal acquisition regulations,business systems analysis,manufacturing resource planning (mrp),cost accounting,enterprise resource planning (erp),legal compliance"
2022-06-18,Lockheed Martin Corporation,11-2021,59.09,3.0,18.0,336.0,"proposal writing,business administration,research,product management,computer engineering,description and demonstration of products,customer contact,avionics,radio frequency (rf) engineering,budgeting,project design,scheduling,staff management,energetic,remote sensing,multi-tasking,product development,digital design,wiring,engineering management,communication skills,microcontrollers"
2022-07-09,Honda,11-2022,28.85,2.0,16.0,336.0,"microsoft excel,automotive sales,contract review,report writing,sales management,planning,oral communication,sales,sales goals,communication skills,microsoft powerpoint,microsoft office,merchandising,sales training,retail sales,writing"
2022-06-18,Conmed Corporation,11-2021,33.65,5.0,16.0,334.0,"product management,customer accounts,medical equipment industry knowledge,project management,microsoft office,competitive analysis,creativity,research,sales training,branding strategy,surgery,business case analysis,microsoft excel,sales support,vaccination,product development,product lifecycle management (plm),teamwork / collaboration,content management,microsoft word,anatomy,budgeting,communication skills,market analysis"
2022-10-12,Air Liquide,11-9199,52.88,5.0,16.0,325.0,"variance analysis,microsoft power bi,building effective relationships,customer service,business administration,key performance indicators (kpis),accounting,budgeting,balance sheet,business intelligence reporting,financial reporting,planning,financial analysis,month-end close processes,communication skills"
2022-09-18,American Sugar Refining Incorporated,11-9199,45.19,5.0,16.0,311.0,"packaging,labor relations,written communication,cost control,microsoft powerpoint,energy consumption,problem solving,employee training,equipment maintenance,industrial operations industry knowledge,supervisory skills,good manufacturing practices (gmp),leadership,food processing industry knowledge,scheduling,microsoft excel"
2022-04-29,Johnson & Johnson,11-9199,53.85,8.0,16.0,325.0,"hardware experience,leadership development,thought leadership,budgeting,educational programs,key performance indicators (kpis),planning,training programs,english,supply chain knowledge,variance analysis"
2022-09-07,Sikorsky,11-9041,24.52,2.0,0.0,336.0,"engineering change packages,autocad,organizational skills,schematic diagrams,detail-oriented,scheduling,requirements analysis,solidworks,problem solving,technical training,planning,decision making,project management,creativity,engineering documentation,presentation skills"
2022-10-18,"Takeda Pharmaceuticals North America, Inc.",11-9111,57.69,5.0,16.0,325.0,"risk management,project management,good clinical practices (gcp),business english,data management,clinical development plans,pharmaceutical industry knowledge,site and study management,operations management,teamwork / collaboration,clinical trials,pressure testing,clinical development,budgeting,contract negotiation,clinical research,agency selection,planning"
2022-05-27,Compass Rose Brewery,11-2021,15.38,1.0,0.0,312.0,"social media,scheduling,music,budgeting,marketing management,marketing,planning,instagram,graphic design,poster design,facebook"
2022-07-08,"Kanpak, A Golden State Foods Company",11-9199,35.1,8.0,16.0,311.0,"financial management,scheduling,balance sheet,financial reporting,energetic,teamwork / collaboration,business planning,accounting,budgeting,cash flow analysis,financial planning,planning,feasibility studies,generally accepted accounting principles (gaap),communication skills,operations analysis,physical abilities,prepare presentations,financial statements,project management,strategic planning"
2022-11-11,Northrop Grumman,11-9199,65.87,7.0,16.0,336.0,"program management,project management,proposal writing,business management,stakeholder management,planning,problem solving,leadership,budgeting,organizational skills,scheduling"
2022-07-11,General Motors,11-2021,54.69,3.0,16.0,336.0,"planning,business solutions,business strategy,electric vehicle,purchasing,market research,product management,project planning and development skills,presentation skills,business acumen"
2022-11-10,Danaher Corporation,11-9111,64.9,8.0,16.0,334.0,"site and study management,staff management,clinical trials,resource management,budgeting,biotechnology,clinical research,clinical affairs,good clinical practices (gcp),oncology,project planning and development skills,project management,program management,new product development,research"
2022-11-11,Alamo Group Incorporated,11-3121,11.63,7.0,16.0,333.0,"cobra,business acumen,project management,microsoft office,research,5500 reporting,family medical leave act (fmla),writing,workers' compensation,employee retirement income security act (erisa),faculty training,computer literacy,business strategy,claims knowledge,business metrics,employee training,employee relations,planning,change management,health insurance portability and accountability act (hipaa),litigation,human resource information system (hris),end-user training,staff management,invoice processing,microsoft excel,teamwork / collaboration"
2022-07-22,GAF Materials Corporation,11-9041,6.25,10.0,16.0,324.0,"data entry,structured methods,troubleshooting,root cause analysis,microsoft office,project management,research,process improvement,process safety,proofreading,typing,project planning and development skills,autocad,budgeting,hazard analysis,capital expenditures,machinery,lifting ability,staff management,communication skills,vendor relations,simulation,network troubleshooting,planning,positive disposition,problem solving,computer aided drafting/design (cad)"
2022-06-29,Peterbilt,11-3071,36.7,1.0,12.0,336.0,"supervisory skills,inventory system,physical abilities,customer contact,writing"
2022-06-15,Northrop Grumman,11-3021,68.99,9.0,16.0,336.0,"team management,engineering design,statistical process control (spc),supervisory skills,leadership,environmental testing,performance analysis,planning,engineering design and installation,reliability engineering studies,process control,performance appraisals,conflict management,estimating,mediation,systems engineering,design of experiments (doe)"
2022-10-24,Colgate-Palmolive Company,11-3051,41.54,5.0,16.0,325.0,"capital expenditures,teamwork / collaboration,multi-tasking,detail-oriented,statistical process control (spc),six sigma,failure mode and effects analysis (fmea),quality assurance and control,statistical analysis,hazard analysis critical control point (haccp),supervisory skills,key performance indicators (kpis),budgeting,communication skills,verbal / oral communication,computer literacy,reliability engineering studies,problem solving,sap,planning,lean six sigma,food science,troubleshooting,packaging,writing,decision making,data structures,anti money laundering (aml),presentation skills,business systems analysis,process improvement,conflict management,lean manufacturing,statistics"
2022-05-08,Northrop Grumman,11-3011,58.65,9.0,16.0,336.0,"estimating,writing,contract drafting,invoicing,proposal writing,contract interpretation,business management,defense federal acquisition regulations,oral communication,communication skills,vaccines,contract review,request for proposal (rfp),contract preparation"
2022-10-22,Ball Aerospace,11-9199,65.38,10.0,16.0,336.0,"procurement,procurement management,customer contact,writing,building effective relationships,program management,research,presentation design,planning,communication skills,scheduling,teamwork / collaboration,budgeting,team building,business development,supervisory skills"
2022-12-05,Lenovo,11-2021,30.29,1.0,16.0,334.0,"confluence,product management,iot device management,firmware,business case analysis,computer hardware/software knowledge,software as a service (saas),software as a service (saas),atlassian jira,communication skills,stakeholder management,verbal / oral communication,scrum master,vaccination,test driven development (tdd),organizational skills,product development,budgeting,vaccines,internet of things (iot),scrum,key performance indicators (kpis)"
2022-11-17,"Takeda Pharmaceuticals North America, Inc.",11-2021,16.0,5.0,12.0,325.0,"kaizen,troubleshooting,sample preparation,market positioning,food service experience,decision making,data warehousing,competitive analysis,finger stick,primary market analysis,written communication,research,data analysis,customer service,market research,business analysis,business acumen,vital signs measurement,5s methodology,good manufacturing practices (gmp),leadership,inventory control,relational databases,inventory management,plasmapheresis,bloodborne pathogens,teamwork / collaboration,business intelligence,detail-oriented,multi-tasking,lifting ability,phlebotomy,change management,problem solving,current good manufacturing practices (cgmp),planning,marketing analytics,telephone skills,market analysis,predictive analytics,communication skills,physical abilities,work area maintenance,biotechnology,stakeholder management,verbal / oral communication"
2022-12-09,Avx Corporation,11-9199,40.87,5.0,16.0,334.0,"safety training,writing,wastewater treatment,hazardous waste management,industrial hygiene,environmental health and safety,chemistry,hazardous waste,air emissions,microsoft office,environmental engineering,environmental studies,communication skills,microsoft powerpoint,lockout / tagout (loto),supervisory skills,microsoft word,iso standards,plant safety,occupational health and safety,operations management,export compliance,staff management,microsoft excel"
2022-11-10,Lockheed Martin Corporation,11-9199,64.42,5.0,16.0,336.0,"supplier identification,business case analysis,systems engineering,research,project management,mechanical engineering,communication skills,planning,budgeting,investment strategy,radio frequency (rf) engineering,product sales,business development,talent management,scheduling,electrical systems"
2022-06-27,Northrop Grumman,11-9041,65.87,9.0,16.0,336.0,"engineering design and installation,planning,sap,problem solving,time management,performance management,engineering leadership,microsoft excel,engineering design,scheduling,organizational skills,detail-oriented,employee engagement,electronics design and engineering,analytical skills,written communication,project management,business management"
2022-08-06,L3Harris,11-1021,86.54,8.0,14.0,334.0,"manufacturing execution system,strategic thinking,microsoft excel,capacity planning,scheduling,six sigma,kanban,leadership development,manufacturing resource planning (mrp),financial acumen,organizational skills,teamwork / collaboration,detail-oriented,planning,lean six sigma,problem solving,material requirement planning (mrp),computer literacy,enterprise resource planning (erp),communication skills,performance management,microsoft powerpoint,microsoft office,written communication,project management,cost control,materials planning,procurement"
2022-06-04,"Agilent Technologies, Inc.",11-2021,60.1,10.0,16.0,334.0,"marketing management,marketing,verbal / oral communication,communication skills,leadership,business development,product marketing,agilent,private equity,mass spectrometry,product development,mergers and acquisitions,project management,product management,building effective relationships,due diligence,analytical skills,writing,computer hardware/software knowledge,software as a service (saas),software as a service (saas),software strategy"
2022-09-21,Comserve Solutions Llc,11-9199,33.0,1.0,16.0,325.0,"sap crm,scheduling,budgeting,problem solving,sap"
2022-07-19,Gilead Sciences,11-9121,48.08,4.0,16.0,325.0,"research,presentation skills,oncology,good clinical practices (gcp),microsoft excel,clinical trials,microsoft powerpoint,communication skills,clinical research"
2022-09-27,General Dynamics,11-2021,50.96,10.0,16.0,336.0,"staff management,financial reporting,manufacturing processes,budgeting,logistics,planning,communication skills,risk assessment,supply chain knowledge,supply chain management,business management,product management,project management,proposal writing"
2022-10-14,Wood Plc,11-9199,56.25,8.0,0.0,325.0,"project management,scheduling,multi-tasking,test equipment,punch list,communication skills,computer literacy"
2022-11-22,Big Easy Blends,11-1021,47.6,10.0,16.0,312.0,"procurement,meeting deadlines,organizational analysis,policy recommendation,microsoft office,project management,communication skills,engineering design and installation,problem solving,change management,occupational health and safety,detail-oriented,manufacturing industry knowledge,engineering design,budget management,hazard analysis critical control point (haccp),logistics,key performance indicators (kpis),team building,budgeting,profit and loss statements"
2022-08-23,Northrop Grumman,11-1021,62.74,5.0,16.0,336.0,"c++,engineering management,atlassian jira,operations management,teamwork / collaboration,matlab,tool development,system maintenance,perl scripting language,java,project management,python,git,confluence,training activities,mentoring,editing,counter intelligence,visual basic,software engineering"
2022-11-14,Haemonetics Corporation,11-3131,16.35,10.0,16.0,339.0,"building effective relationships,product knowledge,5s methodology,research,sales training,microsoft office,new product development,toxicology,biology,onboarding,regulatory affairs,chemistry,risk assessment,sales leadership,good laboratory practices (glp),health care industry knowledge,budgeting,content development,iso standards,negotiation skills,product development,teamwork / collaboration,hand trucks,forklift operation,impact assessment,biocompatibility,oracle,technical training,training programs,training materials,sales,sales goals,financial operation,global marketing,order packing and shipping"
2022-11-16,Cutera Non Rpo,11-2022,72.12,2.0,16.0,334.0,"lead generation,sales management,cold calling,negotiation skills,communication skills,business-to-business sales,description and demonstration of products,business-to-business,self-starter"
2022-04-17,Haworth Incorporated,11-2022,47.12,8.0,12.0,337.0,"interior design,furniture industry knowledge,people development,description and demonstration of products,strategic planning,business administration,mentoring,5s methodology,sales prospecting,product assortment,sales,brand visibility,sales cycle,business planning,teamwork / collaboration,business development,product sales"
2022-06-06,Raytheon,11-2031,9.62,5.0,16.0,334.0,"systems engineering,mathworks simulink,vhsic hardware description language (vhdl),system evaluation,digital signal processing (dsp),computer engineering,engineering support,stochastic processes,budgeting,electrical engineering,leadership,matlab,people management,project design,simulation,problem solving,c++,communication skills,digital communications,system design,algorithm development"
2022-11-20,"Takeda Pharmaceuticals North America, Inc.",11-3011,65.96,7.0,18.0,325.0,"public health and safety,decision making,meeting deadlines,research,data collection,statistics,strategic development,economics,presentation skills,teamwork / collaboration,budget management,health outcomes research,epidemiology,contract review,clinical development,budgeting,statistical analysis,predictive models"
2022-09-07,Corning Incorporated,11-9199,53.85,5.0,16.0,327.0,"decision making,risk and mitigation analysis,presentation skills,building effective relationships,microsoft project,project planning and development skills,conflict management,project management,product development,minitab,failure mode and effects analysis (fmea),scheduling,microsoft excel,microsoft word,autocad,experiments,microsoft sharepoint,sales,microsoft powerpoint,voice communications,problem solving,computer aided drafting/design (cad),planning"
2022-08-25,Northrop Grumman,11-9199,32.74,7.0,16.0,336.0,"scheduling,budgeting,planning,problem solving,project management,microsoft project"
2022-09-27,Airbus Final Assembly Line,11-3031,14.75,7.0,16.0,336.0,"data quality,vaccination,equipment operation,administrative support,social media,contract preparation,negotiation skills,communication skills,english,stakeholder management,problem solving,articulating value propositions,empower,listening,customer service,decision making,contract drafting"
2022-10-20,Beacon Building Products,11-3071,9.26,5.0,16.0,321.0,"detail-oriented,organizational skills,materials transport,inventory checking,operations management,lifting ability,microsoft excel,inventory management,inventory control,leadership,sales goals,warehouse operations,english,problem solving,record keeping,warehouse management,conflict management"
2022-11-02,Molson Coors,11-2021,10.88,3.0,16.0,312.0,"retail industry knowledge,teamwork / collaboration,marketing,marketing management,program development,presentation skills,business analysis,business administration,creativity"
2022-12-24,Saputo,11-9199,37.98,5.0,16.0,311.0,"decision making,supply chain planning,supply chain knowledge,supply chain management,process improvement,project management,microsoft power bi,category management,communication skills,planning,problem solving,sap,microsoft excel,business planning,operations management,business intelligence reporting,business process,key performance indicators (kpis)"
